0.9596,0.7854,1.7604,-0.0166,95.3343,2.783
0.9574,0.8029,1.7602,-0.0109,97.1344,2.7113
0.9547,0.8203,1.7602,-0.0024,98.9347,2.6398
0.9514,0.8376,1.7603,0.0091,100.7346,2.5685
0.9476,0.8548,1.7606,0.0238,102.5339,2.4974
0.9432,0.8718,1.761,0.0417,104.3331,2.4265
0.9383,0.8888,1.7616,0.0629,106.1314,2.3559
0.9329,0.9055,1.7625,0.0875,107.9278,2.2855
0.9269,0.9221,1.7636,0.1155,109.7213,2.2154
0.9205,0.9385,1.7651,0.1468,111.5123,2.1456
0.9135,0.9548,1.7669,0.1815,113.3002,2.076
0.906,0.9708,1.7691,0.2195,115.0834,2.0068
0.898,0.9866,1.7717,0.2606,116.8614,1.9378
0.8895,1.0022,1.7748,0.3049,118.6336,1.8692
0.8805,1.0175,1.7783,0.3522,120.3986,1.8009
0.871,1.0326,1.7823,0.4023,122.1557,1.7329
0.861,1.0474,1.7869,0.4552,123.904,1.6652
0.8506,1.062,1.792,0.5109,125.6421,1.5979
0.8397,1.0763,1.7977,0.5687,127.3692,1.5309
0.8283,1.0903,1.8039,0.6291,129.0847,1.4642
0.8165,1.104,1.8109,0.6918,130.7873,1.3979
0.8042,1.1174,1.8184,0.7562,132.476,1.3319
0.7914,1.1305,1.8267,0.823,134.1499,1.2662
0.7783,1.1433,1.8356,0.8913,135.8075,1.201
0.7647,1.1558,1.8452,0.9613,137.4479,1.136
0.7507,1.1679,1.8555,1.0321,139.0712,1.0714
0.7362,1.1798,1.8666,1.1059,140.676,1.0072
0.7214,1.1913,1.8784,1.1793,142.2612,0.9432
0.7061,1.2024,1.8909,1.2545,143.8268,0.8796
0.6904,1.2132,1.9042,1.3307,145.3722,0.8164
0.6744,1.2237,1.9183,1.4083,146.8962,0.7534
0.6579,1.2338,1.9331,1.4858,148.3982,0.6908
0.6411,1.2436,1.9488,1.564,149.8786,0.6285
0.6238,1.253,1.9652,1.6443,151.3364,0.5666
0.6062,1.2621,1.9825,1.7231,152.7712,0.5049
0.5882,1.2708,2.0005,1.8035,154.1834,0.4435
0.5698,1.2792,2.0193,1.8849,155.5725,0.3824
0.551,1.2872,2.039,1.9647,156.9383,0.3216
0.5319,1.2948,2.0595,2.0475,158.2809,0.261
0.5124,1.302,2.0807,2.1285,159.5994,0.2008
0.4925,1.3089,2.1028,2.2096,160.8948,0.1408
0.4723,1.3154,2.1258,2.2915,162.1672,0.081
0.4517,1.3216,2.1495,2.3736,163.4168,0.0215
0.4307,1.3274,2.1761,2.6564,164.4838,0
0.4094,1.3331,2.2104,3.4317,164.9807,0
0.3877,1.3388,2.2454,3.5008,165.4594,0
0.3655,1.3443,2.2804,3.4985,165.9754,0
0.343,1.3497,2.3154,3.5007,166.5316,0
0.3201,1.3549,2.3504,3.4997,167.1312,0
0.2968,1.36,2.3854,3.5008,167.7776,0
0.2731,1.3648,2.4204,3.4989,168.4749,0
0.2489,1.3694,2.4554,3.5002,169.2273,0
0.2246,1.3737,2.4751,1.9741,170.0366,0
0.2004,1.3775,2.4442,-3.0961,170.8955,0
0.1766,1.381,2.4092,-3.4997,171.7961,0
0.153,1.384,2.3742,-3.5003,172.7384,0
0.1298,1.3865,2.3392,-3.4998,173.7227,0
0.1068,1.3886,2.3042,-3.4993,174.7495,0
0.0842,1.3903,2.2692,-3.5007,175.8188,0
0.0619,1.3915,2.2342,-3.5,176.9302,0
0.0399,1.3922,2.1992,-3.4992,178.0838,0
0.0183,1.3925,2.1642,-3.5013,179.2785,0
-0.003,1.3923,2.1292,-3.4984,-179.4866,0
-0.0239,1.3917,2.0942,-3.4987,-178.2128,0
-0.0445,1.3905,2.0603,-3.3873,-176.9014,0
-0.0647,1.389,2.0288,-3.1496,-175.5531,0
